;ROUTE;NOMGARE;X;Y
0;A0009;MONTPELLIER;795206.11;6292678.38
1;A0009;MONTPELLIER;767254.1;6274148.51
2;A0009;AGDE;733720.8;6253169.83
3;A0009;BEZIERS OUEST;718100.39;6244970.04
4;A0009;NARBONNE EST;702805.45;6230817.98
5;A0009;NARBONNE SUD;699501.6;6229314.31
6;A0009;SIGEAN;696140.27;6214881.66
7;A0009;LEUCATE;697537.93;6204410.15
8;A0009;PERPIGNAN SUD;688620.02;6173846.38
9;A0009;LE PERTHUS-LE BOULOU;685299.16;6158693.15
10;A0009;BOULOU (FERMe);685180.64;6158400.99
11;A0009;LE BOULOU (OUVERT);685180.64;6158400.99
12;A0061;VILLEFRANCHE DE LAURAGAIS;594090.95;6256091.33
13;A0061;CASTELNAUDARY;614329.79;6243821.23
14;A0061;BRAM;626636.36;6237885.51
15;A0061;CARCASSONNE OUEST;643340.69;6233100.55
16;A0061;CARCASSONNE EST;652815.19;6232993.93
17;A0061;LEZIGNAN;678997.89;6229996.53
18;A0066;NAILLOUX;588290.03;6255038.12
19;A0066;MAZERES;589553.97;6238284.35
20;A0066;PAMIER;587330.25;6229312.09
21;A0075;BEZIERS CABRIALS (SORTIE);723411.72;6249388.51
